ipc_prefix,company_name,weight,note
B60L,LG에너지솔루션,1.0,EV 배터리
B60L,삼성SDI,1.0,EV 배터리
B60L,SK온,1.0,EV 배터리
B60L,SK이노베이션,0.9,그룹사
H01M,LG에너지솔루션,1.0,2차 전지
H01M,삼성SDI,1.0,2차 전지
H01M,SK온,1.0,2차 전지
H01M,SK이노베이션,0.9,그룹사
H01M,포스코퓨처엠,0.9,양극재
H01M,에코프로비엠,0.9,양극재
H01M,엘앤에프,0.9,양극재
H01M,SKC,0.8,동박
H01M,일진머티리얼즈,0.8,동박
H01M,대주전자재료,0.8,실리콘 음극재
H01M,두산퓨얼셀,1.0,수소 연료전지
C01G,포스코퓨처엠,0.9,양극재 전구체
C01G,에코프로비엠,0.9,전구체
C22B,포스코홀딩스,0.9,제련
C22B,포스코퓨처엠,0.8,
C25D,SKC,0.9,동박 전해
C25D,일진머티리얼즈,0.9,동박 전해
H01L,삼성전자,1.0,반도체
H01L,SK하이닉스,1.0,반도체
H01L,DB하이텍,0.9,파운드리
H01L,LX세미콘,0.8,DDI
H01L,원익IPS,0.9,장비
H01L,세메스,0.9,장비
H01L,주성엔지니어링,0.8,장비
H01L,LG디스플레이,0.7,
H01L,삼성디스플레이,0.7,
G11C,삼성전자,1.0,메모리
G11C,SK하이닉스,1.0,메모리
G06F,삼성전자,0.9,컴퓨팅
G06F,SK하이닉스,0.8,컨트롤러
G06F,LG전자,0.8,컴퓨팅
G06F,NAVER,0.9,서버·DB
G06F,KT,0.7,클라우드
G06F,삼성SDS,0.9,IT 서비스
G06F,LG CNS,0.8,IT 서비스
G06N,NAVER,1.0,AI/ML
G06N,카카오,1.0,AI/ML
G06N,KT,0.9,AI
G06N,SK텔레콤,0.9,AI
G06N,삼성전자,0.9,AI
G06N,LG전자,0.8,AI
B23K,세메스,0.7,레이저
B23K,이오테크닉스,1.0,레이저 마킹
G09G,LG디스플레이,1.0,디스플레이 구동
G09G,삼성디스플레이,1.0,디스플레이 구동
G09G,LX세미콘,0.9,DDI
H01R,LG디스플레이,0.7,디스플레이 부품
H01R,삼성디스플레이,0.7,디스플레이 부품
H01R,LG이노텍,0.7,커넥터
G02F,LG디스플레이,1.0,LCD 광학
G02F,삼성디스플레이,1.0,OLED
G02B,삼성전자,0.8,광학
G02B,LG이노텍,1.0,카메라 모듈
A61K,한미약품,1.0,의약
A61K,유한양행,1.0,의약
A61K,GC녹십자,1.0,혈액제제·백신
A61K,셀트리온,1.0,바이오시밀러
A61K,대웅제약,1.0,제약
A61K,종근당,1.0,제약
A61K,SK바이오팜,1.0,중추신경계
A61K,HK이노엔,1.0,신약
A61K,삼양홀딩스,0.7,의약·소재
A61K,CJ제일제당,0.7,바이오
A61P,한미약품,1.0,
A61P,유한양행,1.0,
A61P,셀트리온,1.0,
A61P,GC녹십자,0.9,
C07K,셀트리온,1.0,단백질
C07K,삼성바이오로직스,1.0,항체 의약
C07K,한미약품,0.9,
C12N,셀트리온,1.0,세포배양
C12N,삼성바이오로직스,1.0,세포배양
C12N,GC녹십자,0.9,백신 생산
